QtrLabel,QtrSort
Q2 19,201920
Q3 19,201930
Q4 19,201940
Q1 20,202010
Q2 20,202020
Q3 20,202030
Q4 20,202040
Q1 21,202110
Q2 21,202120
Q3 21,202130
Q4 21,202140
Q1 22,202210
Q2 22,202220
Q3 22,202230
Q4 22,202240
Q1 23,202310
Q2 23,202320
Q3 23,202330
Q4 23,202340
Q1 24,202410
Q2 24,202420
Q3 24,202430
Q4 24,202440
Q1 25,202510
Q2 25,202520
Q3 25,202530
Q4 25,202540
Q1 26,202610
Q2 26,202620
Q3 26,202630
Q4 26,202640
Q1 27,202710
Q2 27,202720
Q3 27,202730
Q4 27,202740
Q1 28,202810
