Date,Country,Commodity,Price
2019-01-01,Portugal,Power Spot,63.45
2019-01-02,Portugal,Power Spot,61.59
2019-01-03,Portugal,Power Spot,63.96
2019-01-04,Portugal,Power Spot,66.84
2019-01-05,Portugal,Power Spot,65.33
2019-01-06,Portugal,Power Spot,59.57
2019-01-07,Portugal,Power Spot,63.32
2019-01-08,Portugal,Power Spot,62.56
2019-01-09,Portugal,Power Spot,61.7
2019-01-10,Portugal,Power Spot,62.4
2019-01-11,Portugal,Power Spot,63.89
2019-01-12,Portugal,Power Spot,62.45
2019-01-13,Portugal,Power Spot,60.26
2019-01-14,Portugal,Power Spot,66.19
2019-01-15,Portugal,Power Spot,67.02
2019-01-16,Portugal,Power Spot,69.43
2019-01-17,Portugal,Power Spot,65.57
2019-01-18,Portugal,Power Spot,67.98
2019-01-19,Portugal,Power Spot,64.75
2019-01-20,Portugal,Power Spot,61.75
2019-01-21,Portugal,Power Spot,65.54
2019-01-22,Portugal,Power Spot,64.55
2019-01-23,Portugal,Power Spot,60.32
2019-01-24,Portugal,Power Spot,61.04
2019-01-25,Portugal,Power Spot,62.94
2019-01-26,Portugal,Power Spot,63.17
2019-01-27,Portugal,Power Spot,51.11
2019-01-28,Portugal,Power Spot,57.39
2019-01-29,Portugal,Power Spot,62.73
2019-01-30,Portugal,Power Spot,59.69
2019-01-31,Portugal,Power Spot,54.88
2019-02-01,Portugal,Power Spot,52.68
2019-02-02,Portugal,Power Spot,38.46
2019-02-03,Portugal,Power Spot,49.27
2019-02-04,Portugal,Power Spot,61.22
2019-02-05,Portugal,Power Spot,61.66
2019-02-06,Portugal,Power Spot,61.4
2019-02-07,Portugal,Power Spot,59.51
2019-02-08,Portugal,Power Spot,58.21
2019-02-09,Portugal,Power Spot,54.86
2019-02-10,Portugal,Power Spot,38.96
2019-02-11,Portugal,Power Spot,57.86
2019-02-12,Portugal,Power Spot,60.61
2019-02-13,Portugal,Power Spot,61.65
2019-02-14,Portugal,Power Spot,56.38
2019-02-15,Portugal,Power Spot,55.29
2019-02-16,Portugal,Power Spot,51.59
2019-02-17,Portugal,Power Spot,48.53
2019-02-18,Portugal,Power Spot,56.27
2019-02-19,Portugal,Power Spot,58.89
2019-02-20,Portugal,Power Spot,57.51
2019-02-21,Portugal,Power Spot,54.92
2019-02-22,Portugal,Power Spot,53.28
2019-02-23,Portugal,Power Spot,54.71
2019-02-24,Portugal,Power Spot,53.48
2019-02-25,Portugal,Power Spot,55.83
2019-02-26,Portugal,Power Spot,53.13
2019-02-27,Portugal,Power Spot,52.81
2019-02-28,Portugal,Power Spot,53.01
2019-03-01,Portugal,Power Spot,54.44
2019-03-02,Portugal,Power Spot,49.26
2019-03-03,Portugal,Power Spot,39.79
2019-03-04,Portugal,Power Spot,43.61
2019-03-05,Portugal,Power Spot,52.61
2019-03-06,Portugal,Power Spot,37.85
2019-03-07,Portugal,Power Spot,51.4
2019-03-08,Portugal,Power Spot,55.7
2019-03-09,Portugal,Power Spot,54.39
2019-03-10,Portugal,Power Spot,47.57
2019-03-11,Portugal,Power Spot,51.89
2019-03-12,Portugal,Power Spot,52.06
2019-03-13,Portugal,Power Spot,45.88
2019-03-14,Portugal,Power Spot,51.74
2019-03-15,Portugal,Power Spot,55.63
2019-03-16,Portugal,Power Spot,51.29
2019-03-17,Portugal,Power Spot,38.6
2019-03-18,Portugal,Power Spot,48.77
2019-03-19,Portugal,Power Spot,49.88
2019-03-20,Portugal,Power Spot,48.64
2019-03-21,Portugal,Power Spot,52.53
2019-03-22,Portugal,Power Spot,55.73
2019-03-23,Portugal,Power Spot,51.22
2019-03-24,Portugal,Power Spot,44.82
2019-03-25,Portugal,Power Spot,44.47
2019-03-26,Portugal,Power Spot,41.14
2019-03-27,Portugal,Power Spot,47.18
2019-03-28,Portugal,Power Spot,50.83
2019-03-29,Portugal,Power Spot,53.0
2019-03-30,Portugal,Power Spot,51.93
2019-03-31,Portugal,Power Spot,51.47
2019-04-01,Portugal,Power Spot,58.43
2019-04-02,Portugal,Power Spot,57.98
2019-04-03,Portugal,Power Spot,52.86
2019-04-04,Portugal,Power Spot,53.39
2019-04-05,Portugal,Power Spot,51.35
2019-04-06,Portugal,Power Spot,44.3
2019-04-07,Portugal,Power Spot,47.4
2019-04-08,Portugal,Power Spot,53.03
2019-04-09,Portugal,Power Spot,50.31
2019-04-10,Portugal,Power Spot,50.73
