Date,Country,Commodity,Price
2019-04-11,Portugal,Power Spot,54.64
2019-04-12,Portugal,Power Spot,56.97
2019-04-13,Portugal,Power Spot,57.54
2019-04-14,Portugal,Power Spot,52.62
2019-04-15,Portugal,Power Spot,53.78
2019-04-16,Portugal,Power Spot,57.17
2019-04-17,Portugal,Power Spot,47.43
2019-04-18,Portugal,Power Spot,55.81
2019-04-19,Portugal,Power Spot,40.37
2019-04-20,Portugal,Power Spot,35.23
2019-04-21,Portugal,Power Spot,39.69
2019-04-22,Portugal,Power Spot,55.76
2019-04-23,Portugal,Power Spot,49.22
2019-04-24,Portugal,Power Spot,40.07
2019-04-25,Portugal,Power Spot,29.69
2019-04-26,Portugal,Power Spot,48.92
2019-04-27,Portugal,Power Spot,55.67
2019-04-28,Portugal,Power Spot,52.6
2019-04-29,Portugal,Power Spot,57.91
2019-04-30,Portugal,Power Spot,58.78
2019-05-01,Portugal,Power Spot,50.49
2019-05-02,Portugal,Power Spot,46.14
2019-05-03,Portugal,Power Spot,50.68
2019-05-04,Portugal,Power Spot,46.76
2019-05-05,Portugal,Power Spot,37.78
2019-05-06,Portugal,Power Spot,53.05
2019-05-07,Portugal,Power Spot,51.89
2019-05-08,Portugal,Power Spot,38.94
2019-05-09,Portugal,Power Spot,46.97
2019-05-10,Portugal,Power Spot,47.27
2019-05-11,Portugal,Power Spot,49.92
2019-05-12,Portugal,Power Spot,36.66
2019-05-13,Portugal,Power Spot,47.13
2019-05-14,Portugal,Power Spot,51.42
2019-05-15,Portugal,Power Spot,53.7
2019-05-16,Portugal,Power Spot,52.47
2019-05-17,Portugal,Power Spot,43.8
2019-05-18,Portugal,Power Spot,46.3
2019-05-19,Portugal,Power Spot,48.15
2019-05-20,Portugal,Power Spot,52.74
2019-05-21,Portugal,Power Spot,56.87
2019-05-22,Portugal,Power Spot,57.99
2019-05-23,Portugal,Power Spot,57.07
2019-05-24,Portugal,Power Spot,49.04
2019-05-25,Portugal,Power Spot,42.33
2019-05-26,Portugal,Power Spot,42.41
2019-05-27,Portugal,Power Spot,50.67
2019-05-28,Portugal,Power Spot,47.16
2019-05-29,Portugal,Power Spot,47.58
2019-05-30,Portugal,Power Spot,52.41
2019-05-31,Portugal,Power Spot,55.32
2019-06-01,Portugal,Power Spot,53.28
2019-06-02,Portugal,Power Spot,47.82
2019-06-03,Portugal,Power Spot,53.42
2019-06-04,Portugal,Power Spot,49.41
2019-06-05,Portugal,Power Spot,45.41
2019-06-06,Portugal,Power Spot,43.82
2019-06-07,Portugal,Power Spot,41.85
2019-06-08,Portugal,Power Spot,46.25
2019-06-09,Portugal,Power Spot,43.3
2019-06-10,Portugal,Power Spot,44.76
2019-06-11,Portugal,Power Spot,45.36
2019-06-12,Portugal,Power Spot,48.2
2019-06-13,Portugal,Power Spot,46.4
2019-06-14,Portugal,Power Spot,46.32
2019-06-15,Portugal,Power Spot,45.57
2019-06-16,Portugal,Power Spot,46.67
2019-06-17,Portugal,Power Spot,49.19
2019-06-18,Portugal,Power Spot,46.6
2019-06-19,Portugal,Power Spot,46.99
2019-06-20,Portugal,Power Spot,46.57
2019-06-21,Portugal,Power Spot,46.72
2019-06-22,Portugal,Power Spot,46.19
2019-06-23,Portugal,Power Spot,42.78
2019-06-24,Portugal,Power Spot,48.61
2019-06-25,Portugal,Power Spot,50.07
2019-06-26,Portugal,Power Spot,47.28
2019-06-27,Portugal,Power Spot,49.53
2019-06-28,Portugal,Power Spot,51.94
2019-06-29,Portugal,Power Spot,49.26
2019-06-30,Portugal,Power Spot,46.7
2019-07-01,Portugal,Power Spot,48.32
2019-07-02,Portugal,Power Spot,48.81
2019-07-03,Portugal,Power Spot,50.95
2019-07-04,Portugal,Power Spot,53.06
2019-07-05,Portugal,Power Spot,56.02
2019-07-06,Portugal,Power Spot,51.78
2019-07-07,Portugal,Power Spot,49.62
2019-07-08,Portugal,Power Spot,51.27
2019-07-09,Portugal,Power Spot,52.48
2019-07-10,Portugal,Power Spot,51.42
2019-07-11,Portugal,Power Spot,54.0
2019-07-12,Portugal,Power Spot,56.95
2019-07-13,Portugal,Power Spot,51.31
2019-07-14,Portugal,Power Spot,48.89
2019-07-15,Portugal,Power Spot,52.36
2019-07-16,Portugal,Power Spot,51.5
2019-07-17,Portugal,Power Spot,52.67
2019-07-18,Portugal,Power Spot,53.92
2019-07-19,Portugal,Power Spot,52.46
2019-07-20,Portugal,Power Spot,50.59
2019-07-21,Portugal,Power Spot,49.3
2019-07-22,Portugal,Power Spot,56.13
2019-07-23,Portugal,Power Spot,55.03
2019-07-24,Portugal,Power Spot,55.83
2019-07-25,Portugal,Power Spot,53.67
2019-07-26,Portugal,Power Spot,52.34
2019-07-27,Portugal,Power Spot,45.94
2019-07-28,Portugal,Power Spot,45.59
2019-07-29,Portugal,Power Spot,47.97
2019-07-30,Portugal,Power Spot,48.03
2019-07-31,Portugal,Power Spot,47.11
2019-08-01,Portugal,Power Spot,48.21
2019-08-02,Portugal,Power Spot,48.85
2019-08-03,Portugal,Power Spot,47.41
2019-08-04,Portugal,Power Spot,46.41
2019-08-05,Portugal,Power Spot,50.27
2019-08-06,Portugal,Power Spot,49.97
2019-08-07,Portugal,Power Spot,49.46
2019-08-08,Portugal,Power Spot,47.89
2019-08-09,Portugal,Power Spot,43.95
2019-08-10,Portugal,Power Spot,46.19
2019-08-11,Portugal,Power Spot,42.48
2019-08-12,Portugal,Power Spot,43.59
2019-08-13,Portugal,Power Spot,42.96
2019-08-14,Portugal,Power Spot,45.7
2019-08-15,Portugal,Power Spot,40.78
2019-08-16,Portugal,Power Spot,44.48
2019-08-17,Portugal,Power Spot,41.91
2019-08-18,Portugal,Power Spot,38.88
2019-08-19,Portugal,Power Spot,41.48
2019-08-20,Portugal,Power Spot,40.03
2019-08-21,Portugal,Power Spot,41.11
2019-08-22,Portugal,Power Spot,41.0
2019-08-23,Portugal,Power Spot,41.41
2019-08-24,Portugal,Power Spot,42.14
2019-08-25,Portugal,Power Spot,39.28
2019-08-26,Portugal,Power Spot,43.18
2019-08-27,Portugal,Power Spot,50.31
2019-08-28,Portugal,Power Spot,51.19
2019-08-29,Portugal,Power Spot,50.07
2019-08-30,Portugal,Power Spot,49.39
2019-08-31,Portugal,Power Spot,43.84
2019-09-01,Portugal,Power Spot,39.32
2019-09-02,Portugal,Power Spot,39.45
2019-09-03,Portugal,Power Spot,43.49
2019-09-04,Portugal,Power Spot,43.39
2019-09-05,Portugal,Power Spot,37.37
2019-09-06,Portugal,Power Spot,36.32
2019-09-07,Portugal,Power Spot,33.07
2019-09-08,Portugal,Power Spot,34.39
2019-09-09,Portugal,Power Spot,43.58
2019-09-10,Portugal,Power Spot,34.32
2019-09-11,Portugal,Power Spot,34.44
2019-09-12,Portugal,Power Spot,38.57
2019-09-13,Portugal,Power Spot,38.94
2019-09-14,Portugal,Power Spot,37.23
2019-09-15,Portugal,Power Spot,38.06
2019-09-16,Portugal,Power Spot,47.98
2019-09-17,Portugal,Power Spot,50.4
2019-09-18,Portugal,Power Spot,50.24
2019-09-19,Portugal,Power Spot,50.61
2019-09-20,Portugal,Power Spot,48.5
2019-09-21,Portugal,Power Spot,39.86
2019-09-22,Portugal,Power Spot,37.76
2019-09-23,Portugal,Power Spot,45.7
2019-09-24,Portugal,Power Spot,42.99
2019-09-25,Portugal,Power Spot,44.01
2019-09-26,Portugal,Power Spot,48.54
2019-09-27,Portugal,Power Spot,48.56
2019-09-28,Portugal,Power Spot,45.68
2019-09-29,Portugal,Power Spot,42.07
2019-09-30,Portugal,Power Spot,49.37
2019-10-01,Portugal,Power Spot,47.33
2019-10-02,Portugal,Power Spot,43.42
2019-10-03,Portugal,Power Spot,48.29
2019-10-04,Portugal,Power Spot,52.74
2019-10-05,Portugal,Power Spot,49.07
2019-10-06,Portugal,Power Spot,45.24
2019-10-07,Portugal,Power Spot,50.5
2019-10-08,Portugal,Power Spot,54.31
2019-10-09,Portugal,Power Spot,47.89
2019-10-10,Portugal,Power Spot,46.96
2019-10-11,Portugal,Power Spot,48.46
2019-10-12,Portugal,Power Spot,39.22
2019-10-13,Portugal,Power Spot,37.97
2019-10-14,Portugal,Power Spot,42.42
2019-10-15,Portugal,Power Spot,43.49
2019-10-16,Portugal,Power Spot,43.24
2019-10-17,Portugal,Power Spot,47.09
2019-10-18,Portugal,Power Spot,46.08
2019-10-19,Portugal,Power Spot,43.36
2019-10-20,Portugal,Power Spot,41.45
2019-10-21,Portugal,Power Spot,54.34
2019-10-22,Portugal,Power Spot,49.4
2019-10-23,Portugal,Power Spot,45.82
2019-10-24,Portugal,Power Spot,45.76
2019-10-25,Portugal,Power Spot,48.8
2019-10-26,Portugal,Power Spot,45.86
2019-10-27,Portugal,Power Spot,45.82
2019-10-28,Portugal,Power Spot,53.65
2019-10-29,Portugal,Power Spot,53.9
2019-10-30,Portugal,Power Spot,51.96
2019-10-31,Portugal,Power Spot,49.26
2019-11-01,Portugal,Power Spot,32.84
2019-11-02,Portugal,Power Spot,28.44
2019-11-03,Portugal,Power Spot,18.88
2019-11-04,Portugal,Power Spot,28.48
2019-11-05,Portugal,Power Spot,29.62
2019-11-06,Portugal,Power Spot,40.64
2019-11-07,Portugal,Power Spot,39.3
2019-11-08,Portugal,Power Spot,37.59
2019-11-09,Portugal,Power Spot,40.92
2019-11-10,Portugal,Power Spot,37.27
2019-11-11,Portugal,Power Spot,44.74
2019-11-12,Portugal,Power Spot,47.8
2019-11-13,Portugal,Power Spot,47.58
2019-11-14,Portugal,Power Spot,45.39
2019-11-15,Portugal,Power Spot,48.18
2019-11-16,Portugal,Power Spot,45.75
2019-11-17,Portugal,Power Spot,43.34
2019-11-18,Portugal,Power Spot,50.01
2019-11-19,Portugal,Power Spot,57.49
2019-11-20,Portugal,Power Spot,57.85
2019-11-21,Portugal,Power Spot,55.42
2019-11-22,Portugal,Power Spot,46.28
2019-11-23,Portugal,Power Spot,36.78
2019-11-24,Portugal,Power Spot,41.02
2019-11-25,Portugal,Power Spot,46.95
2019-11-26,Portugal,Power Spot,44.19
2019-11-27,Portugal,Power Spot,41.99
2019-11-28,Portugal,Power Spot,40.21
2019-11-29,Portugal,Power Spot,47.53
2019-11-30,Portugal,Power Spot,41.36
2019-12-01,Portugal,Power Spot,43.29
2019-12-02,Portugal,Power Spot,44.8
2019-12-03,Portugal,Power Spot,49.97
2019-12-04,Portugal,Power Spot,53.83
2019-12-05,Portugal,Power Spot,47.56
2019-12-06,Portugal,Power Spot,47.67
2019-12-07,Portugal,Power Spot,47.26
2019-12-08,Portugal,Power Spot,41.02
2019-12-09,Portugal,Power Spot,41.36
2019-12-10,Portugal,Power Spot,46.6
2019-12-11,Portugal,Power Spot,43.03
2019-12-12,Portugal,Power Spot,38.58
2019-12-13,Portugal,Power Spot,27.17
2019-12-14,Portugal,Power Spot,28.03
2019-12-15,Portugal,Power Spot,26.06
2019-12-16,Portugal,Power Spot,39.69
2019-12-17,Portugal,Power Spot,42.61
2019-12-18,Portugal,Power Spot,37.78
2019-12-19,Portugal,Power Spot,21.81
2019-12-20,Portugal,Power Spot,17.43
2019-12-21,Portugal,Power Spot,2.08
2019-12-22,Portugal,Power Spot,1.68
2019-12-23,Portugal,Power Spot,23.4
2019-12-24,Portugal,Power Spot,20.96
2019-12-25,Portugal,Power Spot,14.24
2019-12-26,Portugal,Power Spot,25.41
2019-12-27,Portugal,Power Spot,32.72
2019-12-28,Portugal,Power Spot,31.09
2019-12-29,Portugal,Power Spot,31.79
2019-12-30,Portugal,Power Spot,36.73
2019-12-31,Portugal,Power Spot,38.28
2020-01-01,Portugal,Power Spot,35.54
2020-01-02,Portugal,Power Spot,39.99
2020-01-03,Portugal,Power Spot,39.51
2020-01-04,Portugal,Power Spot,35.7
2020-01-05,Portugal,Power Spot,38.18
2020-01-06,Portugal,Power Spot,42.17
2020-01-07,Portugal,Power Spot,46.53
2020-01-08,Portugal,Power Spot,46.72
2020-01-09,Portugal,Power Spot,44.23
2020-01-10,Portugal,Power Spot,40.53
2020-01-11,Portugal,Power Spot,41.84
2020-01-12,Portugal,Power Spot,42.36
2020-01-13,Portugal,Power Spot,46.49
2020-01-14,Portugal,Power Spot,38.68
2020-01-15,Portugal,Power Spot,38.45
2020-01-16,Portugal,Power Spot,37.87
2020-01-17,Portugal,Power Spot,39.4
2020-01-18,Portugal,Power Spot,38.3
2020-01-19,Portugal,Power Spot,29.76
2020-01-20,Portugal,Power Spot,34.94
2020-01-21,Portugal,Power Spot,38.74
2020-01-22,Portugal,Power Spot,45.86
2020-01-23,Portugal,Power Spot,53.01
2020-01-24,Portugal,Power Spot,52.93
2020-01-25,Portugal,Power Spot,48.18
2020-01-26,Portugal,Power Spot,40.01
2020-01-27,Portugal,Power Spot,39.34
2020-01-28,Portugal,Power Spot,38.47
2020-01-29,Portugal,Power Spot,39.77
2020-01-30,Portugal,Power Spot,37.95
2020-01-31,Portugal,Power Spot,37.23
2020-02-01,Portugal,Power Spot,29.23
2020-02-02,Portugal,Power Spot,29.58
2020-02-03,Portugal,Power Spot,40.66
2020-02-04,Portugal,Power Spot,37.82
2020-02-05,Portugal,Power Spot,36.75
2020-02-06,Portugal,Power Spot,38.62
2020-02-07,Portugal,Power Spot,39.87
2020-02-08,Portugal,Power Spot,39.05
2020-02-09,Portugal,Power Spot,30.33
2020-02-10,Portugal,Power Spot,31.91
2020-02-11,Portugal,Power Spot,41.99
2020-02-12,Portugal,Power Spot,44.28
2020-02-13,Portugal,Power Spot,38.23
2020-02-14,Portugal,Power Spot,41.74
2020-02-15,Portugal,Power Spot,35.43
2020-02-16,Portugal,Power Spot,25.87
2020-02-17,Portugal,Power Spot,35.93
2020-02-18,Portugal,Power Spot,38.23
2020-02-19,Portugal,Power Spot,42.76
2020-02-20,Portugal,Power Spot,42.53
2020-02-21,Portugal,Power Spot,39.29
2020-02-22,Portugal,Power Spot,39.72
2020-02-23,Portugal,Power Spot,36.51
2020-02-24,Portugal,Power Spot,41.62
2020-02-25,Portugal,Power Spot,32.78
2020-02-26,Portugal,Power Spot,31.97
2020-02-27,Portugal,Power Spot,31.66
2020-02-28,Portugal,Power Spot,34.13
2020-02-29,Portugal,Power Spot,16.6
2020-03-01,Portugal,Power Spot,14.22
2020-03-02,Portugal,Power Spot,21.89
2020-03-03,Portugal,Power Spot,26.14
2020-03-04,Portugal,Power Spot,32.6
2020-03-05,Portugal,Power Spot,25.15
2020-03-06,Portugal,Power Spot,21.85
2020-03-07,Portugal,Power Spot,27.73
2020-03-08,Portugal,Power Spot,27.47
2020-03-09,Portugal,Power Spot,32.52
2020-03-10,Portugal,Power Spot,34.78
2020-03-11,Portugal,Power Spot,38.63
2020-03-12,Portugal,Power Spot,38.78
2020-03-13,Portugal,Power Spot,34.61
2020-03-14,Portugal,Power Spot,35.59
2020-03-15,Portugal,Power Spot,26.88
2020-03-16,Portugal,Power Spot,27.02
2020-03-17,Portugal,Power Spot,28.43
2020-03-18,Portugal,Power Spot,30.69
2020-03-19,Portugal,Power Spot,30.43
2020-03-20,Portugal,Power Spot,28.08
2020-03-21,Portugal,Power Spot,27.65
2020-03-22,Portugal,Power Spot,27.53
2020-03-23,Portugal,Power Spot,29.04
2020-03-24,Portugal,Power Spot,27.41
2020-03-25,Portugal,Power Spot,31.59
2020-03-26,Portugal,Power Spot,23.01
2020-03-27,Portugal,Power Spot,25.07
2020-03-28,Portugal,Power Spot,27.94
2020-03-29,Portugal,Power Spot,20.73
2020-03-30,Portugal,Power Spot,19.18
2020-03-31,Portugal,Power Spot,20.55
2020-04-01,Portugal,Power Spot,26.2
2020-04-02,Portugal,Power Spot,23.9
2020-04-03,Portugal,Power Spot,23.96
2020-04-04,Portugal,Power Spot,16.24
2020-04-05,Portugal,Power Spot,8.16
2020-04-06,Portugal,Power Spot,24.83
2020-04-07,Portugal,Power Spot,22.62
2020-04-08,Portugal,Power Spot,23.62
2020-04-09,Portugal,Power Spot,22.32
2020-04-10,Portugal,Power Spot,19.67
2020-04-11,Portugal,Power Spot,22.02
2020-04-12,Portugal,Power Spot,17.82
2020-04-13,Portugal,Power Spot,22.26
2020-04-14,Portugal,Power Spot,21.95
2020-04-15,Portugal,Power Spot,18.71
2020-04-16,Portugal,Power Spot,12.73
2020-04-17,Portugal,Power Spot,14.54
2020-04-18,Portugal,Power Spot,21.69
2020-04-19,Portugal,Power Spot,13.3
2020-04-20,Portugal,Power Spot,11.12
2020-04-21,Portugal,Power Spot,9.24
2020-04-22,Portugal,Power Spot,9.99
2020-04-23,Portugal,Power Spot,17.75
2020-04-24,Portugal,Power Spot,18.82
2020-04-25,Portugal,Power Spot,17.63
2020-04-26,Portugal,Power Spot,15.22
2020-04-27,Portugal,Power Spot,19.99
2020-04-28,Portugal,Power Spot,18.59
2020-04-29,Portugal,Power Spot,10.69
2020-04-30,Portugal,Power Spot,7.5
2020-05-01,Portugal,Power Spot,4.63
2020-05-02,Portugal,Power Spot,11.4
2020-05-03,Portugal,Power Spot,13.97
2020-05-04,Portugal,Power Spot,16.15
2020-05-05,Portugal,Power Spot,18.24
2020-05-06,Portugal,Power Spot,22.39
2020-05-07,Portugal,Power Spot,20.94
2020-05-08,Portugal,Power Spot,20.05
2020-05-09,Portugal,Power Spot,18.71
2020-05-10,Portugal,Power Spot,13.18
2020-05-11,Portugal,Power Spot,15.32
2020-05-12,Portugal,Power Spot,24.24
2020-05-13,Portugal,Power Spot,25.28
2020-05-14,Portugal,Power Spot,24.47
2020-05-15,Portugal,Power Spot,20.14
2020-05-16,Portugal,Power Spot,16.28
2020-05-17,Portugal,Power Spot,15.8
2020-05-18,Portugal,Power Spot,26.12
2020-05-19,Portugal,Power Spot,26.06
2020-05-20,Portugal,Power Spot,26.83
2020-05-21,Portugal,Power Spot,28.12
2020-05-22,Portugal,Power Spot,29.44
2020-05-23,Portugal,Power Spot,19.13
2020-05-24,Portugal,Power Spot,12.41
2020-05-25,Portugal,Power Spot,23.96
2020-05-26,Portugal,Power Spot,22.21
2020-05-27,Portugal,Power Spot,25.05
2020-05-28,Portugal,Power Spot,29.29
2020-05-29,Portugal,Power Spot,33.08
2020-05-30,Portugal,Power Spot,29.71
2020-05-31,Portugal,Power Spot,29.7
2020-06-01,Portugal,Power Spot,34.23
2020-06-02,Portugal,Power Spot,34.86
2020-06-03,Portugal,Power Spot,32.68
2020-06-04,Portugal,Power Spot,24.3
2020-06-05,Portugal,Power Spot,27.7
2020-06-06,Portugal,Power Spot,28.52
2020-06-07,Portugal,Power Spot,20.01
2020-06-08,Portugal,Power Spot,27.0
2020-06-09,Portugal,Power Spot,29.07
2020-06-10,Portugal,Power Spot,30.72
2020-06-11,Portugal,Power Spot,23.71
2020-06-12,Portugal,Power Spot,20.29
2020-06-13,Portugal,Power Spot,21.25
2020-06-14,Portugal,Power Spot,26.61
2020-06-15,Portugal,Power Spot,31.76
2020-06-16,Portugal,Power Spot,31.07
2020-06-17,Portugal,Power Spot,34.26
2020-06-18,Portugal,Power Spot,35.34
2020-06-19,Portugal,Power Spot,33.6
2020-06-20,Portugal,Power Spot,31.81
2020-06-21,Portugal,Power Spot,25.91
2020-06-22,Portugal,Power Spot,30.35
2020-06-23,Portugal,Power Spot,34.54
2020-06-24,Portugal,Power Spot,37.4
2020-06-25,Portugal,Power Spot,39.43
2020-06-26,Portugal,Power Spot,37.76
2020-06-27,Portugal,Power Spot,30.54
2020-06-28,Portugal,Power Spot,29.53
2020-06-29,Portugal,Power Spot,37.4
2020-06-30,Portugal,Power Spot,37.57
2020-07-01,Portugal,Power Spot,37.45
2020-07-02,Portugal,Power Spot,34.43
2020-07-03,Portugal,Power Spot,34.92
2020-07-04,Portugal,Power Spot,28.68
2020-07-05,Portugal,Power Spot,25.86
2020-07-06,Portugal,Power Spot,28.39
2020-07-07,Portugal,Power Spot,35.2
2020-07-08,Portugal,Power Spot,37.79
2020-07-09,Portugal,Power Spot,39.94
2020-07-10,Portugal,Power Spot,37.95
2020-07-11,Portugal,Power Spot,29.11
2020-07-12,Portugal,Power Spot,28.8
2020-07-13,Portugal,Power Spot,33.96
2020-07-14,Portugal,Power Spot,33.62
2020-07-15,Portugal,Power Spot,31.06
2020-07-16,Portugal,Power Spot,34.89
2020-07-17,Portugal,Power Spot,32.17
2020-07-18,Portugal,Power Spot,30.83
2020-07-19,Portugal,Power Spot,30.45
2020-07-20,Portugal,Power Spot,35.56
2020-07-21,Portugal,Power Spot,36.07
2020-07-22,Portugal,Power Spot,40.84
2020-07-23,Portugal,Power Spot,42.04
2020-07-24,Portugal,Power Spot,36.1
2020-07-25,Portugal,Power Spot,33.32
2020-07-26,Portugal,Power Spot,29.78
2020-07-27,Portugal,Power Spot,38.28
2020-07-28,Portugal,Power Spot,35.89
2020-07-29,Portugal,Power Spot,37.75
2020-07-30,Portugal,Power Spot,40.45
2020-07-31,Portugal,Power Spot,42.01
2020-08-01,Portugal,Power Spot,33.5
2020-08-02,Portugal,Power Spot,28.67
2020-08-03,Portugal,Power Spot,36.6
2020-08-04,Portugal,Power Spot,35.4
2020-08-05,Portugal,Power Spot,36.43
2020-08-06,Portugal,Power Spot,37.32
2020-08-07,Portugal,Power Spot,38.47
2020-08-08,Portugal,Power Spot,36.91
2020-08-09,Portugal,Power Spot,34.65
2020-08-10,Portugal,Power Spot,38.09
2020-08-11,Portugal,Power Spot,38.88
2020-08-12,Portugal,Power Spot,39.27
2020-08-13,Portugal,Power Spot,40.52
2020-08-14,Portugal,Power Spot,36.71
2020-08-15,Portugal,Power Spot,31.55
2020-08-16,Portugal,Power Spot,29.97
2020-08-17,Portugal,Power Spot,36.11
2020-08-18,Portugal,Power Spot,38.51
2020-08-19,Portugal,Power Spot,34.9
2020-08-20,Portugal,Power Spot,34.5
2020-08-21,Portugal,Power Spot,33.67
2020-08-22,Portugal,Power Spot,32.17
2020-08-23,Portugal,Power Spot,29.56
2020-08-24,Portugal,Power Spot,37.69
2020-08-25,Portugal,Power Spot,39.74
2020-08-26,Portugal,Power Spot,38.88
2020-08-27,Portugal,Power Spot,45.33
2020-08-28,Portugal,Power Spot,38.98
2020-08-29,Portugal,Power Spot,30.96
2020-08-30,Portugal,Power Spot,33.75
2020-08-31,Portugal,Power Spot,41.84
2020-09-01,Portugal,Power Spot,45.85
2020-09-02,Portugal,Power Spot,44.2
2020-09-03,Portugal,Power Spot,45.93
2020-09-04,Portugal,Power Spot,43.97
2020-09-05,Portugal,Power Spot,35.2
2020-09-06,Portugal,Power Spot,31.78
2020-09-07,Portugal,Power Spot,39.53
2020-09-08,Portugal,Power Spot,41.54
2020-09-09,Portugal,Power Spot,46.08
2020-09-10,Portugal,Power Spot,45.1
2020-09-11,Portugal,Power Spot,46.96
2020-09-12,Portugal,Power Spot,40.39
2020-09-13,Portugal,Power Spot,35.06
2020-09-14,Portugal,Power Spot,43.49
2020-09-15,Portugal,Power Spot,48.9
2020-09-16,Portugal,Power Spot,50.81
2020-09-17,Portugal,Power Spot,47.1
2020-09-18,Portugal,Power Spot,43.38
2020-09-19,Portugal,Power Spot,39.34
2020-09-20,Portugal,Power Spot,39.17
2020-09-21,Portugal,Power Spot,49.12
2020-09-22,Portugal,Power Spot,50.63
2020-09-23,Portugal,Power Spot,44.98
2020-09-24,Portugal,Power Spot,39.72
2020-09-25,Portugal,Power Spot,26.89
2020-09-26,Portugal,Power Spot,29.25
